Date,Adj Close
2020-01-01,2359.2734375
2020-01-02,2390.727783203125
2020-01-03,2379.14453125
2020-01-06,2310.953125
2020-01-07,2340.95361328125
2020-01-08,2332.326416015625
2020-01-09,2382.00390625
2020-01-10,2382.149658203125
2020-01-13,2386.996337890625
2020-01-14,2415.83349609375
2020-01-15,2412.2470703125
2020-01-16,2405.9462890625
2020-01-17,2378.659912109375
2020-01-20,2379.0478515625
2020-01-21,2389.80712890625
2020-01-22,2342.455810546875
2020-01-23,2353.8935546875
2020-01-24,2375.55810546875
2020-01-27,2322.2939453125
2020-01-28,2356.99560546875
2020-01-29,2330.48486328125
2020-01-30,2340.905029296875
2020-01-31,2339.935546875
2020-02-03,2190.41845703125
2020-02-04,2273.9736328125
2020-02-05,2318.271240234375
2020-02-06,2361.69677734375
2020-02-07,2331.841796875
2020-02-10,2340.226318359375
2020-02-11,2360.4365234375
2020-02-12,2362.811767578125
2020-02-13,2329.9033203125
2020-02-14,2328.0615234375
2020-02-17,2278.141357421875
2020-02-18,2247.65673828125
2020-02-19,2304.31298828125
2020-02-20,2296.801025390625
2020-02-24,2221.969482421875
2020-02-25,2231.953857421875
2020-02-26,2211.452392578125
2020-02-27,2202.486083984375
2020-02-28,2108.99560546875
2020-03-02,2112.77587890625
2020-03-03,2124.165283203125
2020-03-04,2138.365966796875
2020-03-05,2127.703369140625
2020-03-06,2044.7293701171875
2020-03-09,1965.681640625
2020-03-11,1973.7755126953125
2020-03-12,1818.1513671875
2020-03-13,2003.38818359375
2020-03-16,1785.2430419921875
2020-03-17,1701.9300537109375
2020-03-18,1572.768310546875
2020-03-19,1567.9700927734375
2020-03-20,1700.13671875
2020-03-23,1474.0430908203125
2020-03-24,1458.921630859375
2020-03-25,1595.5472412109375
2020-03-26,1680.07177734375
2020-03-27,1700.185302734375
2020-03-30,1510.92578125
2020-03-31,1582.9945068359375
2020-04-01,1534.916259765625
2020-04-03,1453.5421142578125
2020-04-07,1507.4361572265625
2020-04-08,1510.9742431640625
2020-04-09,1650.846923828125
2020-04-13,1604.41650390625
2020-04-15,1547.32373046875
2020-04-16,1575.8702392578125
2020-04-17,1629.0372314453125
2020-04-20,1674.6920166015625
2020-04-21,1618.4716796875
2020-04-22,1613.0919189453125
2020-04-23,1612.4134521484375
2020-04-24,1531.8145751953125
2020-04-27,1542.622314453125
2020-04-28,1663.1573486328125
2020-04-29,1780.3963623046875
2020-04-30,1857.21484375
2020-05-04,1671.4449462890625
2020-05-05,1638.052001953125
2020-05-06,1679.0057373046875
2020-05-07,1651.622314453125
2020-05-08,1637.8580322265625
2020-05-11,1607.5667724609375
2020-05-12,1622.7366943359375
2020-05-13,1660.2008056640625
2020-05-14,1582.3160400390625
2020-05-15,1583.6732177734375
2020-05-18,1465.65869140625
2020-05-19,1492.6055908203125
2020-05-20,1577.081787109375
2020-05-21,1548.2930908203125
2020-05-22,1469.6328125
2020-05-26,1456.0623779296875
2020-05-27,1522.2183837890625
2020-05-28,1573.883056640625
2020-05-29,1608.0030517578125
2020-06-01,1684.38525390625
2020-06-02,1757.908203125
2020-06-03,1779.3302001953125
2020-06-04,1710.1693115234375
2020-06-05,1712.3985595703125
2020-06-08,1706.776611328125
2020-06-09,1717.72998046875
2020-06-10,1753.7886962890625
2020-06-11,1732.6090087890625
2020-06-12,1737.2132568359375
2020-06-15,1697.9073486328125
2020-06-16,1766.001953125
2020-06-17,1739.588134765625
2020-06-18,1799.0072021484375
2020-06-19,1778.796875
2020-06-22,1763.57861328125
2020-06-23,1781.7049560546875
2020-06-24,1742.593017578125
2020-06-25,1723.255126953125
